Disease,Symptoms
COVID-19 Pneumonia,"Acute loss of taste, dry cough, acute fever, critical diarrhea, COVID toes, decreasing exercise capacity, acute."
COPD,"Worsening over years, significant wheezing, remarkably acute exacerbation difficulty breathing, acute exacerbation persistent cough, end-stage shortness of breath, markedly end-stage chest tightness, acute exacerbation use of accessory muscles for breathing."
Pneumothorax,"Tension shortness of breath, in conjunction with racing heart rate, tension hyperresonance."
Heart Failure,"Rapid heartbeat, swollen legs and shortness of breath associated with liver enlargement, heart palpitations and fatigue accompanied by persistent cough, swollen ankles and difficulty breathing when lying down concurrent with pulmonary edema and paroxysmal nocturnal dyspnea, worse at night."
Heart Failure,"Persistent swollen legs, fatigue, severe swollen ankles, severe rapid heartbeat, slight shortness of breath, slight liver enlargement, irregular heartbeat, heart palpitations."
Heart Failure,"Initially presenting with swollen abdomen, fatigue, S3 heart sound, Finally developing swollen ankles, weight gain from fluid, constraining movement."
Lung Cancer,"Persistent cough, together with chest pain, shortness of breath, severe superior vena cava syndrome, severe clubbing of fingertips, debilitating unexplained anemia."
Pneumonia,"Severe shortness of breath, yellow phlegm, rapid breathing, shallow breathing, coughing up mucus, fatigue with mild chest pain, fever, cough, difficulty breathing, worse at night."
Pneumothorax,"Initially presenting with cyanosis, rapid breathing, tracheal deviation, Eventually developing shortness of breath, chest pressure."
Pleural Effusion,"Substantial difficulty breathing when lying down, fever, persistent respiratory distress, decreased chest movement, substantial rapid breathing, severe pleurisy, heightened by position changes."
Pneumonia,"Moderate shortness of breath, in conjunction with chest pain, moderate wheezing, moderate rapid heart rate, acute coughing up mucus."
Pneumothorax,"Severe shortness of breath, blue discoloration of skin, fatigue, chest pressure, reduced chest movement on affected side with mild racing heart rate, asymmetrical chest movement, periodic, compromising respiratory function."
Pneumonia,"Moderate cough, accompanied by chest pain, moderate fever, severe fatigue, weakness."
Heart Failure,"Severe shortness of breath, swollen legs, swollen ankles, chest congestion, difficulty breathing when lying down, crackling lung sounds with mild rapid heartbeat."
Tuberculosis,"Lasting over 3 weeks, night sweats, fever, progressive coughing up blood, particularly significant persistent cough, significant anemia symptoms, clearly extreme pleural effusion, particularly extreme malaise."
Pneumothorax,"Racing heart rate and subcutaneous emphysema in conjunction with pain in shoulder and hyperresonance accompanied by reduced chest movement on affected side and shortness of breath (predominantly sharp), remitting, provoked by deep breathing."
COPD,"Difficulty breathing, concurrent with chest tightness, severe persistent cough, acute exacerbation shortness of breath, during activity wheezing, hyperinflated lungs, recurring pneumonia, severe morning cough, limited airflow, constant, disrupting sleep."
Pneumonia,"Severe cough, fever, chills, malaise, weakness with mild shortness of breath, productive cough, shallow breathing."
Heart Failure,"Worsening, fatigue, moderate rapid heartbeat, shortness of breath, significantly severe swollen abdomen, edema, worsened by lying flat."
Pneumonia,"Recurring, intermittent chest pain, difficulty breathing, clearly mild fever, intermittent cough, clearly high shortness of breath, mild wheezing, intermittent rapid heart rate, intermittent productive cough, induced by respiratory infections, disrupting sleep."
COPD,"Severe shortness of breath, chest tightness, pursed-lip breathing, producing mucus, bluish lips or fingernails with mild difficulty breathing, use of accessory muscles for breathing, continuous, affecting quality of life."
Pneumothorax,"Severe racing heart rate, decreased tactile fremitus, fatigue, absent breath sounds with mild sudden sharp chest pain, decreased breath sounds, remitting."
COVID-19 Pneumonia,"Severe fatigue with mild loss of smell, multi-organ dysfunction, interfering with daily activities."
COVID-19 Pneumonia,"Initially presenting with dry cough, fatigue, chest pain."
Pneumonia,"Chronic, especially intermittent chest pain, intermittent cough, fatigue, mainly concerning cyanosis."
Pleural Effusion,"Difficulty breathing when lying down and chest pain (typically worsening) in combination with decreased breath sounds and fever together with pleuritic pain and dry cough, triggered by irritants."
Lung Cancer,"Severe coughing up blood (especially severe), concurrent with chest pain, persistent cough, shortness of breath, wheezing, shoulder pain, progressive bronchial obstruction, severe headache, disrupting sleep."
Tuberculosis,"Chest pain, night sweats and coughing up blood coinciding with fever, persistent cough and malaise (predominantly mild) linked to joint pain, anemia symptoms and chest tightness (frequently extreme) concurrent with weight loss (strikingly extreme)."
Tuberculosis,"Persistent coughing up blood, persistent weight loss, extreme fever, reduced lung function, extreme hemoptysis, triggered by exertion."
Pneumothorax,"Dry cough (significantly significant) in combination with hypoxemia (characteristically intense) simultaneous with shortness of breath (characteristically significant) correlated with racing heart rate (markedly acute), worse at night, intensified after activity."
Lung Cancer,"Debilitating persistent cough, accompanied by debilitating coughing up blood, weight loss, worsening recurring respiratory infections."
COPD,"Morning cough and difficulty completing sentences linked to wheezing and hyperinflated lungs linked to persistent cough and difficulty breathing along with chronic bronchitis and shortness of breath, episodic, amplified by stress."
COVID-19 Pneumonia,"Acute dry cough, along with fever, critical loss of smell, critical loss of taste, critical shortness of breath, chills, critical bluish lips, mild dizziness, mild myalgia, remitting, reducing stamina."
Pleural Effusion,"Severe shortness of breath, dry cough, inability to lie flat, orthopnea, respiratory distress with mild difficulty breathing when lying down, fever, tracheal deviation, pleuritic pain."
Pneumothorax,"Initially presenting with chest tightness, rapid breathing, sudden onset, Ultimately developing shortness of breath, sudden sharp chest pain, subcutaneous emphysema."
Pneumothorax,"Initially presenting with shortness of breath, absent breath sounds, rapid breathing, Finally developing decreased tactile fremitus, sudden sharp chest pain, hyperresonance."
COPD,"Wheezing, worsening with exertion chest tightness, persistent cough, worsening with exertion shortness of breath, difficulty breathing, fatigue, difficulty completing sentences, persistent."
Pneumothorax,"Severe fatigue with mild racing heart rate, sudden sharp chest pain."
Tuberculosis,"Mild night sweats (obviously progressive), simultaneous with coughing up blood, persistent cough, fever, progressive weight loss, pale skin, chills, pain with breathing, episodic."
Pleural Effusion,"Malaise and dry cough associated with cyanosis and stony dullness (evidently minimal) coinciding with fever and positional dyspnea in conjunction with dullness on percussion and inability to lie flat, worse when lying down, intensified after activity."
Lung Cancer,"Severe persistent cough, coughing up blood, hoarseness with mild deep vein thrombosis, headache, neck swelling, shoulder pain, remitting, decreasing exercise capacity."
COPD,"Severe shortness of breath, wheezing, chest tightness, unexplained weight loss, prolonged expiration, barrel chest with mild persistent cough, chronic sputum production, chronic bronchitis, episodic, restricting physical activity."
Pneumonia,"Concerning cough, acute chest pain, concerning fever, severe difficulty breathing, sweating."
Lung Cancer,"Chest pain, correlated with extreme weight loss, coughing up blood, extreme recurring respiratory infections, worsening loss of appetite, worsening chest wall pain, progressive bronchial obstruction."
Tuberculosis,"Treatment-resistant, occasionally low-grade night sweats, predominantly low-grade persistent cough, predominantly extreme fever, extreme coughing up blood, markedly extreme weight loss, occasionally low-grade swollen lymph nodes."
Pleural Effusion,"Fever, chest pain and night sweats (strikingly significant) related to dullness on percussion, cyanosis and shortness of breath in combination with orthopnea, difficulty breathing when lying down and dry cough associated with reduced tactile fremitus."
Pleural Effusion,"Difficulty breathing when lying down and reduced tactile fremitus (significantly moderate) accompanied by shortness of breath and night sweats accompanied by orthopnea and inability to lie flat (significantly mild), relapsing."
COPD,"Initially presenting with producing mucus, distant heart sounds, barrel chest, Eventually developing wheezing, chest tightness, difficulty breathing, interfering with daily activities."
Pneumonia,"Severe chest pain, fever, cough, decreased breath sounds, coughing up mucus, sweating with mild difficulty breathing, impacting work performance."
Heart Failure,"Moderate swollen legs (frequently slight), connected with swollen ankles, fatigue, shortness of breath, rapid heartbeat, slight chest congestion, mild irregular heartbeat, moderate decreased alertness."
Pneumonia,"Fever, connected with chest pain, concerning confusion, yellow phlegm, coughing up mucus, loss of appetite."
COPD,"End-stage wheezing, associated with chest tightness, chronic bronchitis, end-stage frequent respiratory infections."
Pneumonia,"Low-grade cough, mild chest pain, intermittent fever, low-grade difficulty breathing, shortness of breath, intermittent malaise, rapid heart rate, productive cough."
Heart Failure,Paroxysmal nocturnal dyspnea and swollen legs (remarkably moderate) correlated with shortness of breath and loss of appetite (characteristically increasing) along with rapid heartbeat and fatigue associated with swollen ankles (remarkably severe).
Pleural Effusion,"Dry cough and shortness of breath (remarkably worsening) accompanied by chest pain and dullness on percussion associated with inability to lie flat and difficulty breathing when lying down (commonly worsening) concurrent with dyspnea (commonly worsening), aggravated by coughing."
COPD,"Chronic persistent cough, during activity wheezing, shortness of breath, unexplained weight loss, distant heart sounds."
Pleural Effusion,Shortness of breath and pleurisy together with reduced tactile fremitus and chest pain correlated with decreased breath sounds and stony dullness (frequently significant) coupled with dullness on percussion and tracheal deviation (frequently minimal).
Pleural Effusion,"Severe chest pain, dry cough, difficulty breathing when lying down, shortness of breath with mild fever, pleurisy, limiting mobility."
Heart Failure,"Irregular heartbeat (consistently mild) simultaneous with shortness of breath (remarkably debilitating) simultaneous with liver enlargement (notably acute) accompanied by swollen ankles coinciding with fatigue, constant."
Tuberculosis,"Significant coughing up blood, chronic weight loss, significant bone pain, swollen lymph nodes, pleural effusion, chronic feverish at night, anemia symptoms, malaise, intermittent, chronic."
Lung Cancer,"Persistent cough, coupled with worsening shortness of breath, chest pain, weight loss, concerning neurological symptoms."
Pleural Effusion,"Initially presenting with orthopnea, dry cough, chest pain, Later developing night sweats, decreased chest movement, difficulty breathing when lying down."
Pneumonia,"Initially presenting with wheezing, cough, difficulty breathing, Eventually developing chest pain, malaise, decreased breath sounds."
Lung Cancer,"Severe chest pain, persistent cough, significant weight loss, facial swelling, horner's syndrome, paroxysmal, progressive."
Heart Failure,"Persistent swollen legs (strikingly significant), concurrent with acute fatigue, acute shortness of breath, persistent swollen ankles, persistent rapid heartbeat, pulmonary edema, persistent heart palpitations."
Tuberculosis,"Severe coughing up blood, fever, night sweats, persistent cough, weight loss, bone pain, unintended weight loss with mild feverish at night, loss of appetite."
Pleural Effusion,"Severe dry cough, chest pain, difficulty breathing when lying down, dullness on percussion, inability to lie flat with mild stony dullness, cough on exertion, mediastinal shift, worse at night."
Pneumothorax,"Acute shortness of breath, significant rapid breathing, increased respiratory rate, decreased tactile fremitus, immediately after injury."
Pneumothorax,"Rapid breathing and fatigue together with racing heart rate and sudden sharp chest pain (commonly tension) connected with blue discoloration of skin and decreased tactile fremitus, worse when lying down."
Lung Cancer,"Initially presenting with chest pain, weakness, shortness of breath, Eventually developing persistent cough, constraining movement."
COPD,"Long-term, characteristically significant shortness of breath, difficulty breathing, characteristically significant persistent cough, apparently mild chest tightness, characteristically severe unexplained weight loss, characteristically severe swollen ankles, significant fatigue, aggravated by coughing, constraining movement."
COVID-19 Pneumonia,"Initially presenting with loss of smell, fatigue, dry cough, Subsequently developing nasal congestion."
COPD,"Severe wheezing, limited airflow, distant heart sounds with mild difficulty breathing, persistent cough."
Heart Failure,"Initially presenting with shortness of breath, ascites, need to sleep upright, Eventually developing heart palpitations, edema, nausea."
Pneumothorax,"Initially presenting with cyanosis, shortness of breath, rapid breathing, Subsequently developing increased respiratory rate, interfering with daily activities."
Pleural Effusion,"Persistent shortness of breath (commonly mild), in conjunction with persistent fever, pleuritic pain, tracheal deviation, inability to lie flat, asymmetrical chest expansion."
Lung Cancer,"Initially presenting with chest pain, shortness of breath, chest wall pain."
COVID-19 Pneumonia,"Shortness of breath, related to dry cough, severe loss of taste, fever, persistent cytokine storm, acute dizziness, bluish lips, skin rash, worse after meals."
Heart Failure,"Initially presenting with loss of appetite, swollen legs, swollen ankles, Subsequently developing rapid heartbeat."
Lung Cancer,"Unexplained weight loss, life-limiting persistent cough, weakness, exacerbated by cold air."
Pneumothorax,"Recurrent, stabbing sudden sharp chest pain, shortness of breath, predominantly significant unilateral chest pain, absent breath sounds, apparently stabbing pain in shoulder."
Pleural Effusion,"Persistent, fever, persistent chest pain, strikingly increasing shortness of breath, generally mild respiratory distress, worsened by lying flat."
Pneumothorax,Shortness of breath and reduced chest movement on affected side associated with sudden sharp chest pain and dry cough correlated with chest pressure and sudden onset.
Pleural Effusion,"Initially presenting with dry cough, unilateral symptoms, stony dullness, Ultimately developing shortness of breath, fever, positional dyspnea, impacting work performance."
Tuberculosis,"Persistent cough, accompanied by extreme night sweats, chronic bone pain, chills, worse when lying down."
Heart Failure,"Sudden onset, evidently severe swollen ankles, swollen legs, fatigue, generally slight shortness of breath, severe S3 heart sound, edema, loss of appetite."
Tuberculosis,Unintended weight loss and persistent cough together with coughing up blood and fever linked to night sweats and blood in mucus.
Heart Failure,"Progressive, fatigue, swollen ankles, remarkably mild shortness of breath, mild paroxysmal nocturnal dyspnea, moderate edema."
Pneumonia,"Severe cough, productive cough, decreased oxygen levels, blue lips with mild fever, shortness of breath, chest pain, difficulty breathing, sweating, malaise, reducing stamina."
Pneumonia,"Persistent, low-grade chest pain, moderate difficulty breathing, moderate productive cough, moderate cyanosis, low-grade weakness."
Lung Cancer,"Initially presenting with bronchial obstruction, chest wall pain, unexplained anemia, Later developing shoulder pain, shortness of breath, persistent cough."
COPD,"Significant chest tightness, significant wheezing, moderate shortness of breath, moderate persistent cough, difficulty breathing, fatigue."
Lung Cancer,"Severe weight loss, persistent cough, coughing up blood, chest pain, hoarseness with mild headache, facial swelling, chest wall pain, horner's syndrome."
COPD,"Mild shortness of breath, mild persistent cough, unexplained weight loss, bluish lips or fingernails, mild recurring pneumonia, remitting, triggered by irritants."
Pleural Effusion,"Severe shortness of breath, inability to lie flat, rapid breathing with mild dry cough, chest pain, relapsing."
Heart Failure,"Severe swollen ankles, fatigue, swollen legs, paroxysmal nocturnal dyspnea, reduced exercise tolerance, irregular heartbeat with mild rapid heartbeat, shortness of breath, heart palpitations, difficulty breathing when lying down, constant."
Tuberculosis,"Low-grade weight loss (occasionally chronic), coupled with chronic fever, night sweats, chills, extreme malaise, extreme loss of appetite, anemia symptoms, worse with activity."
Pneumothorax,"Racing heart rate, intense shortness of breath, life-threatening increased respiratory rate."
Tuberculosis,"Treatment-resistant, concerning night sweats, moderate weight loss, particularly concerning joint pain, moderate hemoptysis, aggravated by coughing."
COVID-19 Pneumonia,"Initially presenting with nasal congestion, fatigue, fever, Later developing multi-organ dysfunction, vomiting, ground glass opacities on imaging."
Lung Cancer,"Extreme chest pain, extreme weight loss, extreme persistent cough, coughing up blood, unexplained fever, wheezing, worsening pleural effusion."
COPD,"Chest tightness, moderate shortness of breath, acute exacerbation wheezing, decreased exercise tolerance, recurring pneumonia, compromising respiratory function."
Tuberculosis,"Severe night sweats, chest tightness, joint pain, bone pain with mild weight loss, persistent cough, fatigue, cachexia, fluctuating."
Pneumonia,"Intense cough, acute shortness of breath, acute chest pain, acute fever, yellow phlegm, malaise, persistent green phlegm, intense chills."
COPD,"Decreased breath sounds and difficulty completing sentences accompanied by shortness of breath and persistent cough accompanied by wheezing and chest tightness (clearly during activity) correlated with difficulty breathing, heightened by position changes."
Heart Failure,"Initially presenting with need to sleep upright, weight gain from fluid, shortness of breath, Subsequently developing rapid heartbeat."
COVID-19 Pneumonia,"Initially presenting with nausea, chest pain, COVID toes, Finally developing myalgia, chills, dry cough."
Pneumonia,Chest pain connected with weakness associated with difficulty breathing (occasionally low-grade) correlated with fatigue.
Heart Failure,"S3 heart sound and fatigue (generally acute) simultaneous with swollen legs and rapid heartbeat associated with loss of appetite and irregular heartbeat, exacerbated by cold air."
Pleural Effusion,"Severe chest pain, difficulty breathing when lying down, dry cough, stony dullness, reduced tactile fremitus, positional dyspnea, asymmetrical chest expansion, rapid heart rate with mild fever."
COVID-19 Pneumonia,"Severe dry cough, ageusia, sore throat with mild loss of smell, loss of taste, remitting."
Pleural Effusion,Positional dyspnea and shortness of breath along with pleurisy and tracheal deviation (clearly worsening) in combination with chest pain and dyspnea concurrent with rapid heart rate (generally minimal).
Pneumothorax,"Spontaneous, especially stabbing shortness of breath, racing heart rate, rapid breathing, sudden sharp chest pain, hyperresonance, evidently tension subcutaneous emphysema, absent breath sounds, interfering with daily activities."
Pleural Effusion,"Resolving, fever, significant difficulty breathing when lying down, significant dry cough, increasing shortness of breath, clearly increasing chest pain, notably moderate inability to lie flat, increasing orthopnea."
Pneumonia,"Severe cough, difficulty breathing, chest pain, coughing up mucus, chills with mild shortness of breath, green phlegm, wheezing."
Lung Cancer,Coughing up blood and paraneoplastic syndromes coupled with difficulty swallowing and deep vein thrombosis related to weight loss and chest pain (mainly severe).
Pneumothorax,"Initially presenting with racing heart rate, absent breath sounds, blue discoloration of skin, Later developing subcutaneous emphysema, rapid breathing."
Heart Failure,Swollen legs and fatigue (predominantly acute) associated with swollen ankles and irregular heartbeat (obviously moderate) associated with orthopnea and shortness of breath.
Lung Cancer,"Severe chest pain, coughing up blood, persistent cough, neck swelling, pleural effusion with mild horner's syndrome, hoarseness, affecting quality of life."
Pneumothorax,"Shortness of breath, crushing sudden sharp chest pain, rapid breathing, significant dry cough, severe hypoxemia, subcutaneous emphysema."
Tuberculosis,"Severe joint pain, enlarged lymph nodes, bone pain with mild coughing up blood, persistent cough, night sweats."
COPD,"Exacerbation, predominantly at rest persistent cough, worsening with exertion wheezing, cyanosis, significant decreased exercise tolerance, worsening with exertion distant heart sounds."
Pleural Effusion,"Associated with activity, significantly persistent difficulty breathing when lying down, evidently persistent shortness of breath, evidently moderate dry cough, minimal chest pain, persistent hiccups, unilateral symptoms, evidently persistent orthopnea, triggered by exertion."
COPD,"Chest tightness, linked to persistent cough, pursed-lip breathing, during activity barrel chest, periodic."
Lung Cancer,"Severe persistent cough, pathological fractures with mild coughing up blood, constant, affecting quality of life."
Pneumothorax,"At rest, sudden sharp chest pain, strikingly significant shortness of breath, significant racing heart rate, significant rapid breathing, significant tracheal deviation, chest pressure, subcutaneous emphysema, restricting physical activity."
Heart Failure,"Swollen ankles, chest congestion and edema related to jugular vein distention, rapid heartbeat and persistent cough coinciding with nausea, shortness of breath and crackling lung sounds (consistently persistent)."
Lung Cancer,"Coughing up blood, shortness of breath, persistent cough, persistent bronchial obstruction, extreme hoarseness, deep vein thrombosis, neck swelling, clubbing of fingertips, extreme headache, decreasing exercise capacity."
COVID-19 Pneumonia,"Subacute, mild loss of taste, mild fever, acute fatigue, generally mild low oxygen saturation, mild silent hypoxemia, progressive rapid deterioration."
COVID-19 Pneumonia,"Initially presenting with chest pain, multi-organ dysfunction, fatigue, Subsequently developing loss of taste, ageusia, impairing functional capacity."
Heart Failure,"Swollen ankles simultaneous with liver enlargement (frequently moderate) connected with fatigue concurrent with swollen legs (frequently moderate), worse with activity."
Pneumonia,"Fever, cough, high difficulty breathing, shortness of breath, chest pain, mild productive cough, high wheezing, concerning loss of appetite, blue lips, episodic."
Pneumonia,Fever along with difficulty breathing concurrent with sweating together with cough (clearly low-grade).
Heart Failure,"Decreased alertness (generally significant) concurrent with fatigue associated with swollen legs (consistently significant) together with swollen ankles (evidently acute), cyclical."
Pleural Effusion,"Severe dullness on percussion, cyanosis, positional dyspnea with mild fever, chest pain, asymmetrical chest expansion."
Pneumonia,"Initially presenting with rapid heart rate, confusion, loss of appetite, Subsequently developing wheezing, chest pain, fever."
Tuberculosis,"Severe weight loss, night sweats, cachexia with mild coughing up blood, fever, persistent cough, bone pain, pleural effusion, impacting work performance."
COPD,"Significant difficulty breathing, worsening with exertion persistent cough, worsening with exertion chest tightness, wheezing, bluish lips or fingernails, acute on chronic."
COPD,"Initially presenting with pursed-lip breathing, wheezing, chest tightness, Later developing fatigue, chronic bronchitis, prolonged expiration."
Tuberculosis,"Chronic, significantly significant fever, persistent coughing up blood, severe night sweats, significantly persistent hemoptysis, bone pain, malaise, amplified by stress."
Pneumonia,"Severe cough, fever, fatigue with mild shortness of breath, difficulty breathing, cyanosis, confusion, green phlegm, rapid breathing."
COVID-19 Pneumonia,Dizziness and chest pressure in combination with sore throat and skin rash simultaneous with fatigue and rapid deterioration coinciding with loss of taste.
Pneumothorax,Sudden onset and hyperresonance (typically tension) together with anxiety and chest pressure correlated with rapid breathing and absent breath sounds coupled with shortness of breath.
Heart Failure,"Mild swollen ankles (notably mild), coinciding with severe rapid heartbeat, loss of appetite."
Heart Failure,"Severe swollen legs, shortness of breath, fatigue, edema with mild swollen ankles, rapid heartbeat, wheezing, paroxysmal, compromising respiratory function."
Pneumonia,"Initially presenting with cyanosis, cough, fever, Ultimately developing shallow breathing, chest pain, shortness of breath."
Tuberculosis,"Persistent fever, persistent cough, night sweats, weight loss, blood in mucus, persistent pleural effusion, hemoptysis, pain with breathing, severe reduced lung function, persistent cachexia."
COPD,"Hyperinflated lungs and bluish lips or fingernails linked to limited airflow and wheezing together with chronic sputum production and chest tightness (predominantly acute exacerbation) together with persistent cough, episodic."
Pneumothorax,"Severe racing heart rate, shortness of breath, rapid breathing, restlessness with mild sudden sharp chest pain, chest pressure, blue discoloration of skin, dry cough."
Pneumothorax,"Shortness of breath, associated with sudden sharp chest pain, racing heart rate, decreased breath sounds, sudden asymmetrical chest movement."
Pneumothorax,"Severe sudden sharp chest pain, rapid breathing, racing heart rate, decreased tactile fremitus, hypotension with mild shortness of breath, hypoxemia, fatigue, interfering with daily activities."
Pneumothorax,"Initially presenting with hypotension, rapid breathing, sudden sharp chest pain, Subsequently developing chest pressure."
COPD,"Persistent, shortness of breath, clearly moderate chest tightness, mainly worsening with exertion persistent cough, moderate pursed-lip breathing, decreased breath sounds, amplified by stress."
Heart Failure,"Shortness of breath, mild rapid heartbeat, mild swollen ankles, persistent difficulty breathing when lying down, reduced exercise tolerance, wheezing, nausea, refractory."
Tuberculosis,"Severe night sweats, coughing up blood, fatigue, chest pain, blood in mucus with mild persistent cough, bone pain, pleural effusion."
Heart Failure,"Rapid heartbeat, swollen legs, persistent shortness of breath, slight wheezing, persistent swollen abdomen, pulmonary edema, liver enlargement, ascites, triggered by irritants."
Heart Failure,"Severe rapid heartbeat, shortness of breath, swollen legs, irregular heartbeat with mild decreased alertness."
Pneumonia,"Persistent cough (occasionally persistent), in conjunction with intermittent fever, intermittent difficulty breathing, intense chest pain, shortness of breath, decreased breath sounds, coughing up mucus, rapid breathing, wheezing."
Tuberculosis,"Chronic coughing up blood (strikingly low-grade), linked to progressive weight loss, persistent cough, night sweats, progressive pale skin, fatigue, pain with breathing, chronic bone pain."
COPD,"Severe persistent cough with mild chest tightness, wheezing, chronic sputum production."
Tuberculosis,"Lasting over 3 weeks, concerning fever, particularly severe coughing up blood, mild pleural effusion, severe feverish at night, mild swollen lymph nodes."
Heart Failure,"Initially presenting with liver enlargement, rapid heartbeat, paroxysmal nocturnal dyspnea, Eventually developing fatigue, orthopnea, swollen legs."
Pleural Effusion,"Moderate dry cough, related to moderate fever, asymmetrical chest expansion."
Heart Failure,"Initially presenting with fatigue, swollen ankles, shortness of breath, Eventually developing liver enlargement."
COPD,"Initially presenting with frequent respiratory infections, shortness of breath, chronic sputum production, Finally developing wheezing, difficulty breathing, persistent cough."
Pneumonia,"Initially presenting with loss of appetite, difficulty breathing, green phlegm, Ultimately developing cough, fever, sweating, impacting work performance."
Pleural Effusion,"Severe shortness of breath, simultaneous with fever, chest pain, difficulty breathing when lying down, moderate rapid heart rate, decreased breath sounds, reduced tactile fremitus, significant cough on exertion."
Pneumothorax,"Stabbing racing heart rate (significantly stabbing), correlated with tension shortness of breath, sudden sharp chest pain, intense anxiety, stabbing absent breath sounds, affecting quality of life."
COVID-19 Pneumonia,"Severe loss of taste, cytokine storm with mild fever, chest pressure."
Pneumonia,"Severe chest pain, blue lips with mild difficulty breathing, fever, cyanosis, decreased oxygen levels, decreased breath sounds, productive cough, disrupting sleep."
COPD,"Morning cough coupled with swollen ankles (clearly chronic) coinciding with chest tightness coupled with shortness of breath, exacerbated by cold air."
COVID-19 Pneumonia,"Multi-organ dysfunction, loss of taste and silent hypoxemia (notably high) linked to dry cough, fatigue and bilateral lung involvement in conjunction with fever, vomiting and ground glass opacities on imaging together with bluish lips and loss of smell (obviously high)."
COVID-19 Pneumonia,"Moderate fever, related to worsening loss of smell, asymptomatic skin rash, moderate ground glass opacities on imaging, moderate dizziness, chills, aggravated by coughing."
Pleural Effusion,"Chronic, substantial chest pain, severe fever, worsening orthopnea, severe dullness on percussion, especially severe stony dullness."
Lung Cancer,"Initially presenting with facial swelling, shortness of breath, coughing up blood, Eventually developing weight loss, paraneoplastic syndromes, chest pain."
COPD,"End-stage persistent cough, shortness of breath, mild difficulty breathing, wheezing, use of accessory muscles for breathing, limited airflow, unexplained weight loss, hyperinflated lungs, prolonged expiration, acute on chronic."
Pneumothorax,"Initially presenting with chest pressure, restlessness, rapid breathing, Finally developing shortness of breath."
Lung Cancer,"Worsening chest pain, worsening coughing up blood, bone pain."
COPD,"Long-term, typically mild persistent cough, mild difficulty breathing, wheezing, predominantly severe shortness of breath, chest tightness, significant producing mucus, severe decreased exercise tolerance, typically mild swollen ankles."
COPD,"Mild persistent cough, shortness of breath, mild chest tightness, wheezing, mild difficulty breathing, hyperinflated lungs, acute exacerbation use of accessory muscles for breathing."
Lung Cancer,"Gradually worsening, mainly severe persistent cough, consistently severe chest pain, persistent coughing up blood, persistent shortness of breath, persistent horner's syndrome, severe fatigue, especially persistent wheezing."
Lung Cancer,"Concerning persistent cough, weight loss, chest pain, concerning headache, clubbing of fingertips, concerning fatigue, worse at night, compromising respiratory function."
Pneumonia,"Intermittent fever, accompanied by cough, shortness of breath, loss of appetite, intermittent confusion, intermittent decreased breath sounds, concerning weakness, exacerbated by cold air."
COPD,"Initially presenting with shortness of breath, persistent cough, decreased breath sounds, Subsequently developing bluish lips or fingernails, barrel chest, difficulty breathing."
Pneumothorax,"Secondary, racing heart rate, stabbing rapid breathing, especially acute shortness of breath, especially stabbing sudden sharp chest pain, especially sharp decreased breath sounds, sharp cyanosis, characteristically stabbing decreased tactile fremitus, induced by respiratory infections."
Tuberculosis,"Progressive night sweats, coughing up blood, progressive feverish at night, limiting mobility."
Pneumonia,"Lasting several days, markedly acute fever, cough, acute chest pain, acute shortness of breath, intense difficulty breathing, acute productive cough, remarkably intense blue lips, intense shallow breathing, intensified after activity."
COPD,"Mild shortness of breath, during activity persistent cough, severe chest tightness, during activity difficulty breathing, wheezing, difficulty completing sentences, during activity bluish lips or fingernails, decreased exercise tolerance, worse in the morning."
Pleural Effusion,"Substantial chest pain (strikingly moderate), coupled with minimal difficulty breathing when lying down, moderate fever, moderate dry cough, substantial malaise, respiratory distress, unilateral symptoms, minimal pleurisy."
Heart Failure,"Severe swollen ankles, swollen legs, nausea, S3 heart sound with mild fatigue, shortness of breath, orthopnea, decreased alertness, worse after meals, hindering exercise tolerance."
Heart Failure,"Significant fatigue, concurrent with acute rapid heartbeat, significant need to sleep upright."
Pneumonia,"Chronic, shortness of breath, persistent difficulty breathing, generally concerning chest pain, confusion, moderate fatigue, cyanosis, amplified by stress."
Pleural Effusion,"Transudate, evidently minimal chest pain, predominantly significant shortness of breath, generally significant dry cough, asymmetrical chest expansion, dyspnea, predominantly minimal pleuritic pain, precipitated by allergens."
Pleural Effusion,"Substantial chest pain, accompanied by dry cough, massive difficulty breathing when lying down, tracheal deviation, increasing dullness on percussion."
Lung Cancer,"Refractory to treatment, predominantly severe persistent cough, severe weight loss, especially severe chest pain, shortness of breath, severe recurring respiratory infections."
COVID-19 Pneumonia,"Critical loss of taste, progressive fever, severe fatigue, progressive diarrhea, bluish lips, chills, nausea, vomiting."
Pneumothorax,"Severe racing heart rate, decreased breath sounds, increased respiratory rate with mild rapid breathing, sudden sharp chest pain, shortness of breath, subcutaneous emphysema, restricting physical activity."
Tuberculosis,"Severe weight loss, persistent cough, night sweats with mild pleural effusion, disrupting sleep."
Lung Cancer,"Concerning coughing up blood, concerning persistent cough, shortness of breath, wheezing, life-limiting superior vena cava syndrome, life-limiting bronchial obstruction, life-limiting loss of appetite, deep vein thrombosis, continuous."
COPD,"Initially presenting with persistent cough, bluish lips or fingernails, swollen ankles, Finally developing difficulty breathing, chest tightness."
COPD,"Initially presenting with limited airflow, difficulty breathing, producing mucus, Eventually developing decreased exercise tolerance, shortness of breath, barrel chest."
